Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1920,Antwerp,Hockey,Hockey,"VALCKE, Pierre",Belgium,Men,Hockey,Bronze
1920,Antwerp,Hockey,Hockey,"VAN DEN BEMDEN, Maurice",Belgium,Men,Hockey,Bronze
1920,Antwerp,Hockey,Hockey,"VAN NEROM, Jean",Belgium,Men,Hockey,Bronze
1920,Antwerp,Sailing,Sailing,"BRUYNSEELS, Frédéric Albert Gustave",Belgium,Men,6M (Rating 1907),Gold
1920,Antwerp,Sailing,Sailing,"CORNELLIE, Emile François",Belgium,Men,6M (Rating 1907),Gold
1920,Antwerp,Sailing,Sailing,"CORNELLIE, Florimond",Belgium,Men,6M (Rating 1907),Gold
1920,Antwerp,Sailing,Sailing,"HUYBRECHTS, Léon",Belgium,Men,6M (Rating 1919),Silver
1920,Antwerp,Sailing,Sailing,"KLOTZ, John",Belgium,Men,6M (Rating 1919),Silver
1920,Antwerp,Sailing,Sailing,"VAN DEN BUSSCHE, Charles",Belgium,Men,6M (Rating 1919),Silver
1920,Antwerp,Sailing,Sailing,"DE L'ARBRE, Willy",Belgium,Men,8M (Rating 1919),Bronze
1920,Antwerp,Sailing,Sailing,"GRISAR, Albert",Belgium,Men,8M (Rating 1919),Bronze
1920,Antwerp,Sailing,Sailing,"HELLEBUYCK, Georges",Belgium,Men,8M (Rating 1919),Bronze
1920,Antwerp,Sailing,Sailing,"STANDAERT, Léopold",Belgium,Men,8M (Rating 1919),Bronze
1920,Antwerp,Sailing,Sailing,"WEEWAUTERS, Henri",Belgium,Men,8M (Rating 1919),Bronze
1920,Antwerp,Shooting,Shooting,"BOSQUET, Albert",Belgium,Men,"Clay Pigeons, Team",Silver
1920,Antwerp,Shooting,Shooting,"COGELS, Joseph",Belgium,Men,"Clay Pigeons, Team",Silver
1920,Antwerp,Shooting,Shooting,"DUPONT, Emile",Belgium,Men,"Clay Pigeons, Team",Silver
1920,Antwerp,Shooting,Shooting,"FESINGER, Edouard",Belgium,Men,"Clay Pigeons, Team",Silver
1920,Antwerp,Shooting,Shooting,"QUERSIN, Henri",Belgium,Men,"Clay Pigeons, Team",Silver
1920,Antwerp,Shooting,Shooting,"VAN TILT, Louis",Belgium,Men,"Clay Pigeons, Team",Silver
1920,Antwerp,Tug of War,Tug of War,"BOURGUIGNON, Georges",Belgium,Men,Tug Of War,Bronze
1920,Antwerp,Tug of War,Tug of War,"DUCATILLON, Alphonse",Belgium,Men,Tug Of War,Bronze
1920,Antwerp,Tug of War,Tug of War,"MAERTENS, Raymond Rémi",Belgium,Men,Tug Of War,Bronze
1920,Antwerp,Tug of War,Tug of War,"PIEK, Christen Albert",Belgium,Men,Tug Of War,Bronze
1920,Antwerp,Tug of War,Tug of War,"PINTENS, Henri",Belgium,Men,Tug Of War,Bronze
1920,Antwerp,Tug of War,Tug of War,"VAN DEN BROEK, Charles",Belgium,Men,Tug Of War,Bronze
1920,Antwerp,Tug of War,Tug of War,"VAN HOORENBEEK, François",Belgium,Men,Tug Of War,Bronze
1920,Antwerp,Tug of War,Tug of War,"WUYTS, Gustave Marie",Belgium,Men,Tug Of War,Bronze
1920,Antwerp,Weightlifting,Weightlifting,"DE HAES, Frans",Belgium,Men,"- 60KG, One-Two Hand 3 Events (Featherweight)",Gold
1920,Antwerp,Weightlifting,Weightlifting,"ROOMS, Georges Florimond",Belgium,Men,"60 - 67.5KG, One-Two Hand 3 Events (Lightweight)",Bronze
1920,Antwerp,Weightlifting,Weightlifting,"WILLIQUET, Louis",Belgium,Men,"60 - 67.5KG, One-Two Hand 3 Events (Lightweight)",Silver
1924,Paris,Aquatics,Swimming,"DE COMBE, Joseph",Belgium,Men,200M Breaststroke,Silver
1924,Paris,Aquatics,Water polo,"BLITZ, Gerard",Belgium,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"BLITZ, Maurice",Belgium,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"CLUDTS, Joseph",Belgium,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"DE COMBE, Joseph",Belgium,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"DEWIN, Pierre",Belgium,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"DURANT, Albert",Belgium,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"FLEURIX, Georges",Belgium,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"GAILLY, Paul",Belgium,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"PLETINCX, Joseph",Belgium,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"THIRY, Jules",Belgium,Men,Water Polo,Silver
1924,Paris,Aquatics,Water polo,"VERMETTEN, Jean-Pierre",Belgium,Men,Water Polo,Silver
1924,Paris,Boxing,Boxing,"DELARGE, Jean",Belgium,Men,61.24 - 66.68KG (Welterweight),Gold
1924,Paris,Boxing,Boxing,"BEECKEN, Joseph Jules",Belgium,Men,66.68 - 72.57KG (Middleweight),Bronze
1924,Paris,Cycling,Cycling Road,"HOEVENAERS, Henri",Belgium,Men,Individual Road Race,Silver
1924,Paris,Cycling,Cycling Road,"HOEVENAERS, Henri",Belgium,Men,Team Time Trial,Silver
1924,Paris,Cycling,Cycling Road,"PARFONDRY, Alphonse",Belgium,Men,Team Time Trial,Silver
1924,Paris,Cycling,Cycling Road,"VAN DEN BOSCH, Jean",Belgium,Men,Team Time Trial,Silver
1924,Paris,Cycling,Cycling Track,"DAGHELINCKX, Gustave Léonard",Belgium,Men,Team Pursuit (4000M),Bronze
1924,Paris,Cycling,Cycling Track,"HOEVENAERS, Henri",Belgium,Men,Team Pursuit (4000M),Bronze
1924,Paris,Cycling,Cycling Track,"SAIVE, Ferdinand",Belgium,Men,Team Pursuit (4000M),Bronze
1924,Paris,Cycling,Cycling Track,"VAN DEN BOSCH, Jean",Belgium,Men,Team Pursuit (4000M),Bronze
1924,Paris,Fencing,Fencing,"DELPORTE, Charles",Belgium,Men,Épée Individual,Gold
1924,Paris,Fencing,Fencing,"ANSPACH, Paul",Belgium,Men,Épée Team,Silver
1924,Paris,Fencing,Fencing,"DE CRAECKER, Joseph",Belgium,Men,Épée Team,Silver
1924,Paris,Fencing,Fencing,"DE MONTIGNY, Fernand",Belgium,Men,Épée Team,Silver
1924,Paris,Fencing,Fencing,"DELPORTE, Charles",Belgium,Men,Épée Team,Silver
1924,Paris,Fencing,Fencing,"GEVERS, Ernest",Belgium,Men,Épée Team,Silver
1924,Paris,Fencing,Fencing,"TOM, Léon",Belgium,Men,Épée Team,Silver
1924,Paris,Fencing,Fencing,"VAN DAMME, Maurice E.",Belgium,Men,Foil Individual,Bronze
1924,Paris,Fencing,Fencing,"BERRE, Marcel L.",Belgium,Men,Foil Team,Silver
1924,Paris,Fencing,Fencing,"BEURAIN, Désiré",Belgium,Men,Foil Team,Silver
1924,Paris,Fencing,Fencing,"CRAHAY, Charles",Belgium,Men,Foil Team,Silver
1924,Paris,Fencing,Fencing,"DE MONTIGNY, Fernand",Belgium,Men,Foil Team,Silver
1924,Paris,Fencing,Fencing,"DE ROOCKER, Albert",Belgium,Men,Foil Team,Silver
1924,Paris,Fencing,Fencing,"VAN DAMME, Maurice E.",Belgium,Men,Foil Team,Silver
1924,Paris,Sailing,Sailing,"HUYBRECHTS, Léon",Belgium,Men,Olympic Class Monotype,Gold
1924,Paris,Wrestling,Wrestling Free.,"OLLIVIER, Pierre",Belgium,Men,72 - 79KG (Middleweight),Silver
1928,Amsterdam,Boxing,Boxing,"STEYAERT, Léonard",Belgium,Men,66.68 - 72.57KG (Middleweight),Bronze
1928,Amsterdam,Rowing,Rowing,"ANTHONY, Georges",Belgium,Men,Pair-Oared Shell With Coxswain (2+),Bronze
1928,Amsterdam,Rowing,Rowing,"DE CONINCK, François",Belgium,Men,Pair-Oared Shell With Coxswain (2+),Bronze
1928,Amsterdam,Rowing,Rowing,"FLAMENT, Léon",Belgium,Men,Pair-Oared Shell With Coxswain (2+),Bronze
1928,Amsterdam,Wrestling,Wrestling Free.,"SPAPEN, Edmond",Belgium,Men,- 56KG (Bantamweight),Silver
1936,Berlin,Aquatics,Water polo,"BLITZ, Gerard",Belgium,Men,Water Polo,Bronze
1936,Berlin,Aquatics,Water polo,"CASTELEYNS, Albert",Belgium,Men,Water Polo,Bronze
1936,Berlin,Aquatics,Water polo,"COPPIETERS, Pierre",Belgium,Men,Water Polo,Bronze
1936,Berlin,Aquatics,Water polo,"DE COMBE, Joseph",Belgium,Men,Water Polo,Bronze
1936,Berlin,Aquatics,Water polo,"DE PAUW, Henri",Belgium,Men,Water Polo,Bronze
1936,Berlin,Aquatics,Water polo,"DISY, Henri",Belgium,Men,Water Polo,Bronze
1936,Berlin,Aquatics,Water polo,"ISSELE, Fernand",Belgium,Men,Water Polo,Bronze
1936,Berlin,Aquatics,Water polo,"MICHIELS, Edmond",Belgium,Men,Water Polo,Bronze
1936,Berlin,Aquatics,Water polo,"STOELEN, Henri",Belgium,Men,Water Polo,Bronze
1936,Berlin,Cycling,Cycling Road,"GARREBEEK, Auguste",Belgium,Men,Team Time Trial,Bronze
1936,Berlin,Cycling,Cycling Road,"PUTZEYS, Armand",Belgium,Men,Team Time Trial,Bronze
1936,Berlin,Cycling,Cycling Road,"VANDERMOTTE, Francois",Belgium,Men,Team Time Trial,Bronze
1948,London,Athletics,Athletics,"REIFF, Gaston Etienne",Belgium,Men,5000M,Gold
1948,London,Athletics,Athletics,"GAILLY, Etienne",Belgium,Men,Marathon,Bronze
1948,London,Boxing,Boxing,"VISSERS, Joseph",Belgium,Men,58 - 62KG (Lightweight),Silver
1948,London,Cycling,Cycling Road,"WOUTERS, Lode Alphonse",Belgium,Men,Individual Road Race,Bronze
1948,London,Cycling,Cycling Road,"DELATHOUWER, Leon",Belgium,Men,Team Time Trial,Gold
1948,London,Cycling,Cycling Road,"VAN ROSOSBROECK, Eugene",Belgium,Men,Team Time Trial,Gold
1948,London,Cycling,Cycling Road,"WOUTERS, Lode Alphonse",Belgium,Men,Team Time Trial,Gold
1948,London,Cycling,Cycling Track,"NIHANT, Pierre",Belgium,Men,1KM Time Trial,Silver
1948,London,Fencing,Fencing,"BRU, Raymond",Belgium,Men,Foil Team,Bronze
1948,London,Fencing,Fencing,"DE BOURGIGNON, Georges Camille",Belgium,Men,Foil Team,Bronze
1948,London,Fencing,Fencing,"PATERNOSTER, Henri",Belgium,Men,Foil Team,Bronze
1948,London,Fencing,Fencing,"VALCKE, Paul Louis Jean",Belgium,Men,Foil Team,Bronze
1948,London,Fencing,Fencing,"VAN DE WERWE DE VORSSELAERE, Andre",Belgium,Men,Foil Team,Bronze
1948,London,Fencing,Fencing,"YVES, Edouard",Belgium,Men,Foil Team,Bronze
1952,Helsinki,Cycling,Cycling Road,"NOYELLE, Andre Alfons",Belgium,Men,Individual Road Race,Gold
1952,Helsinki,Cycling,Cycling Road,"GRONDELAERS, Robert",Belgium,Men,Individual Road Race,Silver
1952,Helsinki,Cycling,Cycling Road,"GRONDELAERS, Robert",Belgium,Men,Team Time Trial,Gold
1952,Helsinki,Cycling,Cycling Road,"NOYELLE, Andre Alfons",Belgium,Men,Team Time Trial,Gold
1952,Helsinki,Cycling,Cycling Road,"VICTOR, Lucien Honore",Belgium,Men,Team Time Trial,Gold
1952,Helsinki,Rowing,Rowing,"BAETENS, Robert Frederik",Belgium,Men,Coxless Pair (2-),Silver
1952,Helsinki,Rowing,Rowing,"KNUYSEN, Michel Jules L.",Belgium,Men,Coxless Pair (2-),Silver
1956,Melbourne / Stockholm,Sailing,Sailing,"NELIS, Andre",Belgium,Men,Single-Handed Dinghy (Finn),Silver
1956,Melbourne / Stockholm,Wrestling,Wrestling Free.,"MEWIS, Joseph",Belgium,Men,57 - 63KG (Featherweight),Silver
1960,Rome,Athletics,Athletics,"MOENS, Roger",Belgium,Men,800M,Silver
1960,Rome,Cycling,Cycling Road,"VAN DEN BERGHEN, Willy",Belgium,Men,Individual Road Race,Bronze
1960,Rome,Cycling,Cycling Track,"STERCKX, Leo",Belgium,Men,Sprint Indivual,Silver
1960,Rome,Sailing,Sailing,"NELIS, Andre",Belgium,Men,Single-Handed Dinghy (Finn),Bronze
1964,Tokyo,Athletics,Athletics,"ROELANTS, Gaston",Belgium,Men,3000M Steeplechase,Gold
1964,Tokyo,Cycling,Cycling Road,"GODEFROOT, Walter",Belgium,Men,Individual Road Race,Bronze
1964,Tokyo,Cycling,Cycling Track,"SERCU, Patrick",Belgium,Men,1KM Time Trial,Gold
1968,Mexico,Cycling,Cycling Track,"GOENS, Daniel",Belgium,Men,2000M Tandem,Bronze
1968,Mexico,Cycling,Cycling Track,"VAN LANCKER, Robert",Belgium,Men,2000M Tandem,Bronze
1968,Mexico,Weightlifting,Weightlifting,"REDING, Serge",Belgium,Men,"+ 90KG, Total (Heavyweight)",Silver
1972,Munich,Athletics,Athletics,"PUTTEMANS, Emiel",Belgium,Men,10000M,Silver
1972,Munich,Athletics,Athletics,"LISMONT, Karel",Belgium,Men,Marathon,Silver
1976,Montreal,Athletics,Athletics,"VAN DAMME, Ivo",Belgium,Men,1500M,Silver
1976,Montreal,Athletics,Athletics,"VAN DAMME, Ivo",Belgium,Men,800M,Silver
1976,Montreal,Athletics,Athletics,"LISMONT, Karel",Belgium,Men,Marathon,Bronze
1976,Montreal,Cycling,Cycling Track,"VAARTEN, Michel",Belgium,Men,1KM Time Trial,Silver
1976,Montreal,Equestrian,Jumping,"MATHY, Francois",Belgium,Men,Individual,Bronze
1976,Montreal,Equestrian,Jumping,"CUEPPER, Edgar-Henri",Belgium,Men,Team,Bronze
1976,Montreal,Equestrian,Jumping,"MATHY, Francois",Belgium,Men,Team,Bronze
1976,Montreal,Equestrian,Jumping,"VAN PAESSCHEN, Stanny",Belgium,Men,Team,Bronze
1976,Montreal,Equestrian,Jumping,"WAUTERS, Eric",Belgium,Men,Team,Bronze
1980,Moscow,Judo,Judo,"VAN DE WALLE, Robert",Belgium,Men,86 - 95KG (Half-Heavyweight),Gold
1984,Los Angeles,Aquatics,Swimming,"LEMPEREUR, Ingrid",Belgium,Women,200M Breaststroke,Bronze
1984,Los Angeles,Cycling,Cycling Track,"ILEGEMS, Roger",Belgium,Men,Points Race,Gold
1984,Los Angeles,Rowing,Rowing,"CROIS, Dirk",Belgium,Men,Double Sculls (2X),Silver
1984,Los Angeles,Rowing,Rowing,"DELOOF, Pierre Marie",Belgium,Men,Double Sculls (2X),Silver
1984,Los Angeles,Rowing,Rowing,"HAESEBROUCK, Ann",Belgium,Women,Single Sculls (1X),Bronze
1988,Seoul,Judo,Judo,"VAN DE WALLE, Robert",Belgium,Men,86 - 95KG (Half-Heavyweight),Bronze
1988,Seoul,Shooting,Shooting,"PEETERS, Frans",Belgium,Men,Trap (125 Targets),Bronze
1992,Barcelona,Cycling,Cycling Track,"MATHY, Cedric",Belgium,Men,Points Race,Bronze
1992,Barcelona,Judo,Judo,"RAKELS, Heidi",Belgium,Women,61 - 66KG (Middleweight),Bronze
1992,Barcelona,Rowing,Rowing,"BREDAEL, Annelies",Belgium,Women,Single Sculls (1X),Silver
1996,Atlanta,Aquatics,Swimming,"DEBURGHGRAEVE, Frederik",Belgium,Men,100M Breaststroke,Gold
1996,Atlanta,Judo,Judo,"VAN BARNEVELD, Harry",Belgium,Men,+ 100KG (Heavyweight),Bronze
1996,Atlanta,Judo,Judo,"LOMBA, Marisabel",Belgium,Women,52 - 56KG (Lightweight),Bronze
1996,Atlanta,Judo,Judo,"VANDECAVEYE, Gella",Belgium,Women,56 - 61KG (Half-Middleweight),Silver
1996,Atlanta,Judo,Judo,"WERBROUCK, Ulla",Belgium,Women,66 - 72KG (Half-Heavyweight),Gold
1996,Atlanta,Sailing,Sailing,"GODEFROID, Sebastien",Belgium,Men,Single-Handed Dinghy (Finn),Silver
2000,Sydney,Cycling,Cycling Track,"DE WILDE, Etienne",Belgium,Men,Madison,Silver
2000,Sydney,Cycling,Cycling Track,"GILMORE, Matthew",Belgium,Men,Madison,Silver
2000,Sydney,Cycling,Mountain Bike,"MEIRHAEGHE, Filip",Belgium,Men,Cross-Country,Silver
2000,Sydney,Judo,Judo,"SIMONS, Ann",Belgium,Women,- 48KG (Extra-Lightweight),Bronze
2000,Sydney,Judo,Judo,"VANDECAVEYE, Gella",Belgium,Women,57 - 63KG (Half-Middleweight),Bronze
2000,Sydney,Tennis,Tennis,"CALLENS, Els",Belgium,Women,Doubles,Bronze
2000,Sydney,Tennis,Tennis,"VAN ROOST, Dominique",Belgium,Women,Doubles,Bronze
2004,Athens,Cycling,Cycling Road,"MERCKX, Axel",Belgium,Men,Individual Road Race,Bronze
2004,Athens,Judo,Judo,"HEYLEN, Ilse",Belgium,Women,48 - 52KG (Half-Lightweight),Bronze
2004,Athens,Tennis,Tennis,"HENIN-HARDENNE, Justine",Belgium,Women,Singles,Gold
2008,Beijing,Athletics,Athletics,"BORLEE, Olivia",Belgium,Women,4X100M Relay,Silver
2008,Beijing,Athletics,Athletics,"GEVAERT, Kim",Belgium,Women,4X100M Relay,Silver
2008,Beijing,Athletics,Athletics,"MARIEN, Hanna",Belgium,Women,4X100M Relay,Silver
2008,Beijing,Athletics,Athletics,"OUEDRAOGO, Elodie",Belgium,Women,4X100M Relay,Silver
2008,Beijing,Athletics,Athletics,"HELLEBAUT, Tia",Belgium,Women,High Jump,Gold
2012,London,Judo,Judo,"VAN SNICK, Charline",Belgium,Women,- 48 KG,Bronze
2012,London,Sailing,Sailing,"VAN ACKER, Evi",Belgium,Women,Laser Radial,Bronze
2012,London,Shooting,Shooting,"COX, Lionel",Belgium,Men,50M Rifle Prone,Silver
1976,Montreal,Boxing,Boxing,"HILL, Clarence",Bermuda*,Men,+ 81KG (Heavyweight),Bronze
1996,Atlanta,Athletics,Athletics,"KAPTYUKH, Vasiliy",Belarus,Men,Discus Throw,Bronze
1996,Atlanta,Athletics,Athletics,"DUBROVSHCHIK, Vladimir",Belarus,Men,Discus Throw,Silver
1996,Atlanta,Athletics,Athletics,"ZVEREVA, Ellina",Belarus,Women,Discus Throw,Bronze
1996,Atlanta,Athletics,Athletics,"SAZANOVICH, Natalya",Belarus,Women,Heptathlon,Silver
1996,Atlanta,Gymnastics,Artistic G.,"SCHERBO, Vitaly",Belarus,Men,Horizontal Bar,Bronze
1996,Atlanta,Gymnastics,Artistic G.,"SCHERBO, Vitaly",Belarus,Men,Individual All-Round,Bronze
1996,Atlanta,Gymnastics,Artistic G.,"SCHERBO, Vitaly",Belarus,Men,Parallel Bars,Bronze
1996,Atlanta,Gymnastics,Artistic G.,"SCHERBO, Vitaly",Belarus,Men,Vault,Bronze
1996,Atlanta,Rowing,Rowing,"DAVYDENKO, Tamara",Belarus,Women,Eight With Coxswain (8+),Bronze
1996,Atlanta,Rowing,Rowing,"LAVRINENKO, Natalya",Belarus,Women,Eight With Coxswain (8+),Bronze
1996,Atlanta,Rowing,Rowing,"MIKULICH, Yelena",Belarus,Women,Eight With Coxswain (8+),Bronze
1996,Atlanta,Rowing,Rowing,"PANKINA, Aleksandra",Belarus,Women,Eight With Coxswain (8+),Bronze
1996,Atlanta,Rowing,Rowing,"PAVLOVICH, Yaroslava",Belarus,Women,Eight With Coxswain (8+),Bronze
1996,Atlanta,Rowing,Rowing,"SKRABATUN, Valentina",Belarus,Women,Eight With Coxswain (8+),Bronze
1996,Atlanta,Rowing,Rowing,"STASYUK, Natalia",Belarus,Women,Eight With Coxswain (8+),Bronze
1996,Atlanta,Rowing,Rowing,"VOLCHEK, Natalya",Belarus,Women,Eight With Coxswain (8+),Bronze
1996,Atlanta,Rowing,Rowing,"ZNAK, Marina",Belarus,Women,Eight With Coxswain (8+),Bronze
1996,Atlanta,Rowing,Rowing,"KARSTEN, Ekaterina",Belarus,Women,Single Sculls (1X),Gold
1996,Atlanta,Shooting,Shooting,"BASINSKI, Igor",Belarus,Men,50M Pistol (60 Shots),Silver
1996,Atlanta,Wrestling,Wrestling Free.,"MEDVEDEV, Aleksey",Belarus,Men,100 - 130KG (Super Heavyweight),Silver
1996,Atlanta,Wrestling,Wrestling Gre-R,"PAVLOV, Aleksandr",Belarus,Men,- 48KG (Light-Flyweight),Silver
1996,Atlanta,Wrestling,Wrestling Gre-R,"TSILENT, Valeriy",Belarus,Men,74 - 82KG (Middleweight),Bronze
1996,Atlanta,Wrestling,Wrestling Gre-R,"LISHTVAN, Sergey",Belarus,Men,90 - 100KG (Heavyweight),Silver
2000,Sydney,Athletics,Athletics,"YATCHENKO, Iryna",Belarus,Women,Discus Throw,Bronze
2000,Sydney,Athletics,Athletics,"ZVEREVA, Ellina",Belarus,Women,Discus Throw,Gold
2000,Sydney,Athletics,Athletics,"ASTAPKOVICH, Igor",Belarus,Men,Hammer Throw,Bronze
2000,Sydney,Athletics,Athletics,"SAZANOVICH, Natalya",Belarus,Women,Heptathlon,Bronze
2000,Sydney,Athletics,Athletics,"KAROLCHIK, Yanina",Belarus,Women,Shot Put,Gold
2000,Sydney,Gymnastics,Rhythmic G.,"ANANKO, Tatyana",Belarus,Women,Group Competition,Silver
2000,Sydney,Gymnastics,Rhythmic G.,"BELAN, Tatyana",Belarus,Women,Group Competition,Silver
2000,Sydney,Gymnastics,Rhythmic G.,"GLAZKOVA, Anna",Belarus,Women,Group Competition,Silver
2000,Sydney,Gymnastics,Rhythmic G.,"ILYENKOVA, Irina",Belarus,Women,Group Competition,Silver
2000,Sydney,Gymnastics,Rhythmic G.,"LAZUK, Maria",Belarus,Women,Group Competition,Silver
2000,Sydney,Gymnastics,Rhythmic G.,"PUZHEVICH, Olga",Belarus,Women,Group Competition,Silver
2000,Sydney,Gymnastics,Rhythmic G.,"RASKINA, Yulia",Belarus,Women,Individual All-Round,Silver
2000,Sydney,Judo,Judo,"LARYUKOV, Anatoly",Belarus,Men,66 - 73KG (Lightweight),Bronze
2000,Sydney,Modern Pentathlon,Modern Pentath.,"DOVGAL, Pavel",Belarus,Men,Individual Competition,Bronze
2000,Sydney,Rowing,Rowing,"KARSTEN, Ekaterina",Belarus,Women,Single Sculls (1X),Gold
2000,Sydney,Shooting,Shooting,"BASINSKI, Igor",Belarus,Men,10M Air Pistol (60 Shots),Bronze
2000,Sydney,Shooting,Shooting,"EVGLEVSKAYA, Lolita",Belarus,Women,25M Pistol (30+30 Shots),Bronze
2000,Sydney,Shooting,Shooting,"BASINSKI, Igor",Belarus,Men,50M Pistol (60 Shots),Silver
2000,Sydney,Shooting,Shooting,"MARTYNOV, Sergei",Belarus,Men,50M Rifle Prone (60 Shots),Bronze
2000,Sydney,Weightlifting,Weightlifting,"OLESHCHUK, Gennady",Belarus,Men,62KG,Bronze
2000,Sydney,Weightlifting,Weightlifting,"LAVRENOV, Sergei",Belarus,Men,69KG,Bronze
2000,Sydney,Wrestling,Wrestling Gre-R,"DEBELKA, Dmitry",Belarus,Men,97 - 130KG,Bronze
2004,Athens,Athletics,Athletics,"NESTERENKO, Yuliya",Belarus,Women,100M,Gold
2004,Athens,Athletics,Athletics,"YATCHENKO, Iryna",Belarus,Women,Discus Throw,Bronze
2004,Athens,Athletics,Athletics,"TIKHON, Ivan",Belarus,Men,Hammer Throw,Silver
2004,Athens,Boxing,Boxing,"ARIPGADJIEV, Magomed",Belarus,Men,75 - 81KG (Light-Heavyweight),Silver
2004,Athens,Boxing,Boxing,"ZUYEV, Viktar",Belarus,Men,81 - 91KG (Heavyweight),Silver
2004,Athens,Canoe / Kayak,Canoe / Kayak F,"MAKHNEU, Vadzim",Belarus,Men,K-2 500M (Kayak Double),Bronze
2004,Athens,Canoe / Kayak,Canoe / Kayak F,"PIATRUSHENKA, Raman",Belarus,Men,K-2 500M (Kayak Double),Bronze
2004,Athens,Cycling,Cycling Track,"TSYLINSKAYA, Natallia",Belarus,Women,500M Time Trial,Bronze
2004,Athens,Judo,Judo,"MAKARAU, Ihar",Belarus,Men,90 - 100KG (Half-Heavyweight),Gold
2004,Athens,Rowing,Rowing,"BICHYK, Yuliya",Belarus,Women,Pair Without Coxswain (2-),Bronze
2004,Athens,Rowing,Rowing,"HELAKH, Natallia",Belarus,Women,Pair Without Coxswain (2-),Bronze
2004,Athens,Rowing,Rowing,"KARSTEN, Ekaterina",Belarus,Women,Single Sculls (1X),Silver
2004,Athens,Shooting,Shooting,"MARTYNOV, Sergei",Belarus,Men,50M Rifle Prone (60 Shots),Bronze
2004,Athens,Weightlifting,Weightlifting,"STUKALAVA, Tatsiana",Belarus,Women,63KG,Bronze
2004,Athens,Weightlifting,Weightlifting,"BATSIUSHKA, Hanna",Belarus,Women,63KG,Silver
2004,Athens,Weightlifting,Weightlifting,"RYBAKOU, Andrei",Belarus,Men,85KG,Silver
2004,Athens,Wrestling,Wrestling Gre-R,"MAKARANKA, Viachaslau",Belarus,Men,74 - 84KG,Bronze
2008,Beijing,Athletics,Athletics,"KRAUCHANKA, Andrei",Belarus,Men,Decathlon,Silver
2008,Beijing,Athletics,Athletics,"TSIKHAN, Ivan",Belarus,Men,Hammer Throw,Bronze
2008,Beijing,Athletics,Athletics,"DEVYATOVSKIY, Vadim",Belarus,Men,Hammer Throw,Silver
2008,Beijing,Athletics,Athletics,"MIANKOVA, Aksana",Belarus,Women,Hammer Throw,Gold
2008,Beijing,Athletics,Athletics,"MIKHNEVICH, Andrei",Belarus,Men,Shot Put,Bronze
2008,Beijing,Athletics,Athletics,"OSTAPCHUK, Nadzeya",Belarus,Women,Shot Put,Bronze
2008,Beijing,Athletics,Athletics,"MIKHNEVICH, Natallia",Belarus,Women,Shot Put,Silver
2008,Beijing,Canoe / Kayak,Canoe / Kayak F,"BAHDANOVICH, Aliaksandr",Belarus,Men,C-2 1000M (Canoe Double),Gold
2008,Beijing,Canoe / Kayak,Canoe / Kayak F,"BAHDANOVICH, Andrei",Belarus,Men,C-2 1000M (Canoe Double),Gold
2008,Beijing,Canoe / Kayak,Canoe / Kayak F,"MAKHNEU, Vadzim",Belarus,Men,K-2 500M (Kayak Double),Bronze
2008,Beijing,Canoe / Kayak,Canoe / Kayak F,"PIATRUSHENKA, Raman",Belarus,Men,K-2 500M (Kayak Double),Bronze
2008,Beijing,Canoe / Kayak,Canoe / Kayak F,"ABALMASAU, Aliaksei",Belarus,Men,K-4 1000M (Kayak Four),Gold
2008,Beijing,Canoe / Kayak,Canoe / Kayak F,"LITVINCHUK, Artur",Belarus,Men,K-4 1000M (Kayak Four),Gold
2008,Beijing,Canoe / Kayak,Canoe / Kayak F,"MAKHNEU, Vadzim",Belarus,Men,K-4 1000M (Kayak Four),Gold
2008,Beijing,Canoe / Kayak,Canoe / Kayak F,"PIATRUSHENKA, Raman",Belarus,Men,K-4 1000M (Kayak Four),Gold
2008,Beijing,Gymnastics,Rhythmic G.,"BABUSHKINA, Olesya",Belarus,Women,Group Competition,Bronze
2008,Beijing,Gymnastics,Rhythmic G.,"IVANKOVA, Anastasia",Belarus,Women,Group Competition,Bronze
2008,Beijing,Gymnastics,Rhythmic G.,"LUNINA, Zinaida",Belarus,Women,Group Competition,Bronze
2008,Beijing,Gymnastics,Rhythmic G.,"MARTINOVICH, Glafira",Belarus,Women,Group Competition,Bronze
2008,Beijing,Gymnastics,Rhythmic G.,"SANKOVICH, Ksenia",Belarus,Women,Group Competition,Bronze
2008,Beijing,Gymnastics,Rhythmic G.,"TUMILOVICH, Alina",Belarus,Women,Group Competition,Bronze
2008,Beijing,Gymnastics,Rhythmic G.,"ZHUKOVA, Inna",Belarus,Women,Individual All-Round,Silver
2008,Beijing,Rowing,Rowing,"BICHYK, Yuliya",Belarus,Women,Pair Without Coxswain (2-),Bronze
2008,Beijing,Rowing,Rowing,"HELAKH, Natallia",Belarus,Women,Pair Without Coxswain (2-),Bronze
